age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,target
42.0,4,10,16.0,2,10,0,4,1,0.0,0.0,45.0,0
29.0,4,15,10.0,0,13,1,4,1,0.0,0.0,58.0,1
36.0,4,11,9.0,2,3,0,4,1,0.0,0.0,40.0,1
28.0,4,15,10.0,0,1,1,4,0,0.0,0.0,40.0,1
53.0,4,11,9.0,2,1,5,4,0,0.0,0.0,40.0,0
49.0,5,15,10.0,2,4,0,4,1,0.0,0.0,50.0,0
25.0,0,15,10.0,4,0,3,4,1,0.0,0.0,40.0,1
19.0,4,15,10.0,4,10,3,4,1,0.0,0.0,32.0,1
31.0,4,9,13.0,5,12,3,2,0,0.0,0.0,40.0,1
29.0,6,9,13.0,2,12,0,4,1,0.0,0.0,70.0,0
23.0,4,15,10.0,4,7,1,4,1,0.0,0.0,40.0,1
79.0,4,15,10.0,2,10,2,4,1,0.0,0.0,20.0,1
27.0,4,11,9.0,4,8,3,4,1,0.0,0.0,40.0,1
40.0,4,7,12.0,2,1,0,4,1,0.0,0.0,40.0,1
67.0,0,0,6.0,2,0,0,4,1,0.0,0.0,2.0,1
18.0,4,1,7.0,4,8,3,4,0,0.0,0.0,22.0,1
31.0,2,5,4.0,2,5,0,4,1,0.0,0.0,40.0,1
18.0,4,11,9.0,4,12,1,4,1,0.0,0.0,30.0,1
52.0,4,9,13.0,2,8,0,4,1,0.0,0.0,40.0,1
46.0,4,11,9.0,2,8,5,4,0,0.0,0.0,40.0,1
59.0,4,11,9.0,2,12,0,4,1,0.0,0.0,48.0,1
44.0,4,11,9.0,0,3,1,4,0,14344.0,0.0,40.0,0
53.0,4,11,9.0,0,12,3,4,0,0.0,0.0,35.0,1
49.0,2,11,9.0,2,11,0,4,1,0.0,0.0,40.0,0
33.0,4,12,14.0,2,10,0,4,1,0.0,0.0,50.0,1
30.0,4,6,5.0,4,12,1,4,1,0.0,0.0,40.0,1
43.0,1,10,16.0,4,10,1,4,0,0.0,0.0,50.0,0
57.0,4,8,11.0,2,10,0,4,1,0.0,0.0,40.0,1
37.0,4,15,10.0,0,3,4,4,0,0.0,0.0,40.0,1
28.0,4,15,10.0,0,7,4,2,0,0.0,0.0,25.0,1
30.0,4,11,9.0,2,12,5,1,0,0.0,1573.0,35.0,1
34.0,2,9,13.0,2,11,0,4,1,0.0,0.0,40.0,0
29.0,2,15,10.0,4,6,1,4,1,0.0,0.0,50.0,1
48.0,6,10,16.0,2,10,0,4,1,0.0,1902.0,60.0,0
37.0,4,15,10.0,2,12,0,4,1,0.0,0.0,48.0,0
48.0,4,7,12.0,0,4,4,4,0,0.0,0.0,40.0,1
32.0,1,11,9.0,4,8,3,2,1,0.0,0.0,40.0,1
76.0,4,12,14.0,2,4,0,4,1,0.0,0.0,40.0,0
44.0,4,9,13.0,2,4,0,4,1,15024.0,0.0,60.0,0
47.0,6,12,14.0,4,10,1,4,0,0.0,0.0,50.0,1
20.0,4,15,10.0,4,13,3,4,0,0.0,0.0,40.0,1
29.0,4,11,9.0,4,3,1,4,1,0.0,0.0,40.0,1
32.0,5,11,9.0,2,3,0,4,1,7688.0,0.0,40.0,0
17.0,0,0,6.0,4,0,3,4,0,34095.0,0.0,32.0,1
30.0,4,1,7.0,4,6,3,4,1,0.0,0.0,40.0,1
31.0,2,11,9.0,4,1,1,4,0,0.0,0.0,40.0,1
42.0,4,11,9.0,2,6,0,4,1,0.0,0.0,40.0,1
24.0,4,9,13.0,4,12,2,4,1,0.0,0.0,40.0,1
38.0,4,14,15.0,2,10,0,4,1,0.0,0.0,40.0,0
56.0,6,11,9.0,2,8,0,4,1,0.0,1887.0,50.0,0
28.0,4,15,10.0,2,12,5,4,0,4064.0,0.0,25.0,1
36.0,4,11,9.0,4,7,3,4,0,0.0,0.0,40.0,1
53.0,4,6,5.0,2,6,0,4,1,0.0,0.0,50.0,1
56.0,5,15,10.0,2,12,0,4,1,0.0,0.0,50.0,1
49.0,2,8,11.0,2,3,0,2,1,0.0,0.0,40.0,0
55.0,4,15,10.0,2,12,0,4,1,0.0,0.0,56.0,1
22.0,4,11,9.0,4,3,1,4,1,0.0,0.0,41.0,1
21.0,4,15,10.0,4,8,3,4,0,0.0,0.0,40.0,1
40.0,4,9,13.0,2,4,0,4,1,0.0,0.0,60.0,1
30.0,4,9,13.0,4,4,3,2,1,0.0,0.0,40.0,1
29.0,7,9,13.0,2,10,0,4,1,0.0,0.0,50.0,0
19.0,4,15,10.0,4,8,3,2,1,0.0,0.0,35.0,1
47.0,4,9,13.0,2,4,5,4,0,0.0,0.0,40.0,0
20.0,4,15,10.0,4,1,3,4,0,0.0,1719.0,28.0,1
31.0,4,7,12.0,2,1,0,4,1,0.0,0.0,40.0,0
35.0,0,11,9.0,2,0,0,4,1,0.0,0.0,40.0,1
39.0,4,15,10.0,0,3,1,4,1,0.0,0.0,40.0,1
28.0,4,7,12.0,4,12,1,4,0,0.0,0.0,60.0,1
24.0,4,11,9.0,4,8,1,4,0,0.0,1762.0,40.0,1
38.0,6,11,9.0,2,3,0,4,1,4386.0,0.0,35.0,1
37.0,4,9,13.0,2,12,0,4,1,0.0,0.0,50.0,1
46.0,4,7,12.0,0,13,1,2,0,0.0,0.0,36.0,1
38.0,1,12,14.0,2,10,0,4,1,0.0,0.0,40.0,0
43.0,6,11,9.0,2,3,0,4,1,0.0,0.0,60.0,1
27.0,4,8,11.0,2,1,5,4,0,0.0,0.0,35.0,1
20.0,4,15,10.0,4,12,3,4,1,0.0,0.0,20.0,1
49.0,4,15,10.0,2,3,0,1,1,0.0,0.0,40.0,0
61.0,5,11,9.0,2,3,0,4,1,0.0,0.0,40.0,1
27.0,4,15,10.0,4,12,3,4,0,0.0,0.0,40.0,1
19.0,4,15,10.0,4,8,3,4,1,0.0,0.0,30.0,1
45.0,4,8,11.0,4,10,1,4,0,0.0,1564.0,40.0,0
70.0,4,15,10.0,4,13,2,4,1,0.0,0.0,40.0,1
31.0,4,11,9.0,4,14,4,2,0,0.0,0.0,30.0,1
22.0,4,15,10.0,2,8,0,4,1,0.0,0.0,24.0,1
36.0,4,11,9.0,6,8,4,4,0,0.0,0.0,24.0,1
64.0,4,1,7.0,2,3,0,4,1,0.0,2179.0,40.0,1
43.0,0,15,10.0,0,0,1,4,0,0.0,0.0,40.0,1
47.0,2,15,10.0,0,1,4,4,0,0.0,0.0,38.0,1
34.0,4,11,9.0,4,1,1,4,0,0.0,0.0,40.0,1
33.0,4,9,13.0,4,4,2,1,0,0.0,0.0,40.0,1
21.0,4,11,9.0,4,3,3,4,1,0.0,0.0,35.0,1
52.0,0,11,9.0,0,0,1,4,1,0.0,0.0,45.0,0
48.0,4,11,9.0,2,3,0,4,1,0.0,0.0,46.0,1
23.0,4,9,13.0,4,6,1,4,1,0.0,0.0,40.0,1
71.0,6,15,10.0,5,12,4,2,1,0.0,1816.0,2.0,1
29.0,4,11,9.0,0,3,1,4,1,0.0,0.0,60.0,1
42.0,4,9,13.0,5,8,2,2,1,0.0,0.0,50.0,1
68.0,0,3,2.0,0,0,1,4,0,0.0,0.0,20.0,1
25.0,4,11,9.0,4,8,4,4,0,0.0,0.0,40.0,1
44.0,5,12,14.0,0,4,4,1,0,0.0,0.0,40.0,1
28.0,4,11,9.0,4,4,1,1,0,0.0,0.0,40.0,1
45.0,6,12,14.0,2,12,0,4,1,0.0,0.0,40.0,0
36.0,4,15,10.0,0,8,4,4,0,0.0,0.0,40.0,1
39.0,1,7,12.0,4,4,1,4,1,0.0,0.0,42.0,1
46.0,7,12,14.0,6,11,4,4,1,0.0,0.0,40.0,1
18.0,4,1,7.0,4,6,3,4,1,0.0,0.0,16.0,1
66.0,2,8,11.0,6,10,1,4,0,0.0,0.0,20.0,1
27.0,4,11,9.0,4,8,1,4,1,0.0,1980.0,40.0,1
28.0,7,11,9.0,2,11,0,4,1,0.0,0.0,40.0,1
51.0,4,15,10.0,2,12,0,4,1,0.0,1977.0,40.0,0
27.0,4,9,13.0,4,3,1,4,1,0.0,0.0,50.0,1
28.0,7,9,13.0,2,10,0,4,1,0.0,0.0,40.0,0
27.0,4,11,9.0,3,12,4,4,0,0.0,0.0,25.0,1
21.0,4,11,9.0,4,3,3,2,1,0.0,0.0,40.0,1
34.0,4,11,9.0,4,6,1,2,1,0.0,0.0,40.0,1
18.0,4,11,9.0,4,8,3,4,1,0.0,0.0,12.0,1
33.0,4,9,13.0,2,10,0,4,1,0.0,0.0,65.0,1
44.0,2,15,10.0,2,4,0,2,1,0.0,0.0,38.0,0
43.0,4,15,10.0,0,1,1,4,0,0.0,0.0,40.0,1
30.0,4,15,10.0,4,3,1,2,1,0.0,0.0,45.0,1
40.0,4,5,4.0,2,7,0,4,1,0.0,0.0,40.0,0
37.0,1,15,10.0,2,1,0,4,1,0.0,0.0,42.0,0
34.0,4,11,9.0,2,1,0,2,1,0.0,0.0,40.0,1
41.0,6,9,13.0,0,4,1,4,0,0.0,0.0,40.0,1
53.0,0,9,13.0,0,0,1,4,0,0.0,0.0,50.0,1
31.0,4,12,14.0,2,10,5,4,0,0.0,0.0,50.0,1
58.0,7,10,16.0,2,10,0,4,1,0.0,0.0,1.0,0
38.0,4,15,10.0,0,7,1,2,0,0.0,0.0,28.0,1
24.0,4,15,10.0,2,7,0,4,1,0.0,0.0,40.0,1
41.0,2,9,13.0,2,3,0,2,1,0.0,0.0,40.0,1
47.0,4,15,10.0,2,13,0,4,1,0.0,0.0,45.0,1
41.0,1,9,13.0,2,13,0,4,1,0.0,0.0,24.0,1
23.0,4,4,3.0,2,14,2,4,1,0.0,0.0,40.0,1
36.0,4,15,10.0,0,3,1,4,1,0.0,0.0,40.0,1
40.0,1,12,14.0,4,4,1,4,0,14084.0,0.0,55.0,0
35.0,4,12,14.0,2,10,2,4,1,7298.0,0.0,40.0,0
24.0,6,11,9.0,4,12,1,4,1,0.0,0.0,40.0,1
26.0,4,12,14.0,4,10,1,4,0,0.0,1876.0,40.0,1
19.0,0,11,9.0,4,0,3,4,1,0.0,0.0,40.0,1
51.0,4,9,13.0,2,4,0,4,1,0.0,0.0,50.0,0
42.0,2,15,10.0,4,10,1,4,0,0.0,1340.0,40.0,1
37.0,7,11,9.0,0,1,4,4,0,0.0,0.0,35.0,1
18.0,4,1,7.0,4,12,3,4,0,0.0,0.0,40.0,1
36.0,4,9,13.0,2,8,0,2,1,7298.0,0.0,36.0,0
35.0,4,11,9.0,0,3,1,4,1,0.0,0.0,60.0,1
58.0,5,11,9.0,2,12,5,4,0,15024.0,0.0,35.0,0
17.0,4,1,7.0,4,12,3,4,0,0.0,0.0,12.0,1
44.0,2,11,9.0,2,14,0,2,1,0.0,0.0,40.0,1
37.0,4,11,9.0,2,3,0,4,1,0.0,0.0,40.0,0
35.0,4,15,10.0,4,12,1,0,0,0.0,0.0,40.0,1
60.0,4,11,9.0,2,3,0,1,1,0.0,0.0,40.0,1
54.0,5,5,4.0,2,7,0,4,1,0.0,0.0,40.0,0
37.0,4,9,13.0,4,4,1,2,1,0.0,0.0,60.0,0
50.0,4,7,12.0,0,12,1,4,0,0.0,0.0,40.0,1
38.0,4,9,13.0,2,12,0,4,1,0.0,0.0,50.0,1
45.0,4,9,13.0,2,10,0,4,1,0.0,0.0,55.0,1
25.0,4,0,6.0,4,3,1,4,1,0.0,0.0,40.0,1
31.0,4,15,10.0,2,6,0,4,1,0.0,0.0,40.0,1
64.0,0,3,2.0,0,0,1,4,1,0.0,0.0,40.0,1
90.0,4,11,9.0,4,8,1,2,1,0.0,2206.0,40.0,1
54.0,4,11,9.0,2,1,0,2,1,0.0,0.0,20.0,1
53.0,2,13,1.0,4,7,1,4,0,0.0,0.0,35.0,1
18.0,4,11,9.0,4,12,3,4,0,0.0,0.0,40.0,1
60.0,0,0,6.0,0,0,1,0,0,0.0,0.0,10.0,1
66.0,6,11,9.0,2,5,0,4,1,1409.0,0.0,50.0,1
75.0,4,8,11.0,6,1,1,4,0,0.0,0.0,20.0,1
65.0,4,11,9.0,0,1,1,4,0,0.0,0.0,40.0,1
35.0,4,1,7.0,5,14,1,2,1,3674.0,0.0,40.0,1
41.0,4,11,9.0,0,12,4,2,0,0.0,0.0,38.0,1
25.0,4,15,10.0,4,1,1,4,1,0.0,0.0,42.0,1
33.0,4,15,10.0,0,3,2,3,0,0.0,0.0,40.0,1
28.0,4,14,15.0,4,10,1,4,1,0.0,0.0,55.0,0
59.0,7,11,9.0,2,8,0,4,1,0.0,0.0,40.0,1
40.0,7,15,10.0,4,1,1,4,0,0.0,0.0,38.0,1
41.0,4,9,13.0,2,4,0,4,1,0.0,0.0,50.0,0
38.0,2,12,14.0,2,4,0,4,1,0.0,0.0,70.0,0
23.0,4,11,9.0,4,14,3,4,1,0.0,0.0,40.0,1
40.0,4,9,13.0,2,10,0,4,1,0.0,0.0,40.0,0
41.0,6,11,9.0,2,8,5,4,0,0.0,0.0,20.0,1
24.0,7,7,12.0,2,11,0,4,1,0.0,0.0,50.0,1
20.0,0,15,10.0,4,0,3,4,1,0.0,0.0,20.0,1
38.0,4,15,10.0,0,3,1,4,1,0.0,1741.0,40.0,1
56.0,4,11,9.0,2,1,0,4,1,0.0,0.0,35.0,1
58.0,4,11,9.0,2,1,0,4,1,0.0,0.0,45.0,0
32.0,4,11,9.0,4,8,1,4,0,0.0,0.0,34.0,1
40.0,4,7,12.0,2,13,0,4,1,0.0,1977.0,60.0,0
45.0,4,11,9.0,2,1,0,4,1,0.0,0.0,40.0,1
41.0,4,14,15.0,2,10,5,4,0,0.0,0.0,40.0,0
42.0,4,9,13.0,2,1,5,2,0,0.0,0.0,40.0,1
59.0,2,0,6.0,6,8,4,2,0,0.0,0.0,30.0,1
19.0,2,15,10.0,4,1,3,4,1,0.0,0.0,40.0,1
58.0,4,15,10.0,4,14,1,4,1,0.0,0.0,20.0,1
42.0,6,11,9.0,2,5,0,1,1,0.0,0.0,40.0,0
20.0,4,11,9.0,4,8,3,4,0,0.0,0.0,40.0,1
32.0,4,11,9.0,5,8,1,4,0,0.0,0.0,30.0,1
45.0,4,8,11.0,6,4,1,4,0,0.0,0.0,45.0,1
50.0,4,5,4.0,0,3,1,4,1,0.0,0.0,40.0,1
36.0,4,9,13.0,0,10,3,4,0,0.0,0.0,40.0,1
45.0,4,11,9.0,2,12,0,4,1,0.0,0.0,60.0,1
17.0,4,1,7.0,4,8,3,4,1,0.0,0.0,12.0,1
59.0,4,15,10.0,2,12,0,4,1,4064.0,0.0,40.0,1
26.0,4,1,7.0,2,3,0,4,1,0.0,0.0,40.0,1
37.0,5,15,10.0,2,4,0,1,1,0.0,0.0,75.0,0
19.0,0,15,10.0,4,0,3,4,1,0.0,0.0,24.0,1
64.0,4,11,9.0,2,4,0,4,1,0.0,0.0,40.0,0
33.0,4,9,13.0,4,10,1,4,0,0.0,0.0,45.0,1
33.0,4,11,9.0,2,3,5,4,0,0.0,0.0,40.0,0
61.0,4,11,9.0,2,4,0,4,1,0.0,0.0,40.0,0
17.0,4,6,5.0,4,8,3,4,1,1055.0,0.0,24.0,1
50.0,6,12,14.0,2,5,0,4,1,2407.0,0.0,98.0,1
27.0,2,12,14.0,4,10,3,4,1,0.0,0.0,35.0,1
30.0,4,11,9.0,0,10,3,4,0,0.0,0.0,40.0,1
43.0,4,11,9.0,2,6,0,2,1,0.0,0.0,40.0,1
44.0,4,15,10.0,2,3,0,4,1,7298.0,0.0,40.0,0
35.0,4,15,10.0,4,4,1,4,0,0.0,0.0,40.0,1
25.0,4,15,10.0,4,13,3,4,0,0.0,0.0,40.0,1
24.0,4,15,10.0,2,7,5,4,0,7298.0,0.0,48.0,0
22.0,4,9,13.0,4,10,1,4,0,0.0,0.0,15.0,1
42.0,2,15,10.0,2,3,0,4,1,5178.0,0.0,40.0,0
34.0,4,7,12.0,0,12,4,2,0,0.0,0.0,45.0,1
60.0,4,9,13.0,0,10,1,4,0,0.0,0.0,42.0,1
21.0,4,11,9.0,4,6,3,4,1,0.0,0.0,40.0,1
57.0,1,12,14.0,2,12,0,4,1,15024.0,0.0,40.0,0
41.0,4,14,15.0,2,10,0,4,1,0.0,0.0,60.0,0
50.0,4,15,10.0,0,8,1,4,1,0.0,0.0,45.0,1
25.0,4,9,13.0,4,4,1,4,0,0.0,0.0,40.0,1
50.0,4,5,4.0,2,3,0,4,1,0.0,0.0,40.0,1
36.0,4,9,13.0,2,10,0,4,1,0.0,0.0,45.0,1
31.0,4,11,9.0,0,10,1,4,0,0.0,0.0,40.0,1
29.0,2,9,13.0,4,11,1,4,1,0.0,0.0,56.0,1
21.0,4,15,10.0,4,12,3,4,1,0.0,0.0,45.0,1
27.0,4,9,13.0,4,13,4,2,0,0.0,0.0,40.0,1
65.0,4,11,9.0,2,14,0,4,1,0.0,0.0,16.0,1
37.0,5,9,13.0,0,12,1,4,0,0.0,0.0,60.0,1
39.0,0,12,14.0,2,0,5,1,0,3464.0,0.0,40.0,1
24.0,4,11,9.0,4,3,3,4,1,0.0,0.0,40.0,1
38.0,4,11,9.0,0,12,1,4,1,0.0,0.0,80.0,1
48.0,4,9,13.0,2,1,0,4,1,7688.0,0.0,40.0,0
21.0,4,15,10.0,4,8,1,1,0,0.0,0.0,25.0,1
31.0,4,11,9.0,2,14,0,4,1,0.0,0.0,45.0,0
55.0,4,11,9.0,2,12,0,4,1,4386.0,0.0,40.0,0
24.0,4,15,10.0,2,1,5,1,0,0.0,0.0,40.0,1
43.0,4,11,9.0,0,1,1,4,0,0.0,0.0,40.0,1
26.0,4,7,12.0,4,13,1,4,1,0.0,0.0,45.0,1
46.0,4,7,12.0,4,10,1,4,0,0.0,0.0,33.0,1
35.0,4,7,12.0,2,1,0,4,1,0.0,0.0,40.0,0
41.0,5,15,10.0,2,5,0,4,1,0.0,0.0,54.0,0
26.0,4,9,13.0,4,12,1,4,1,0.0,0.0,40.0,1
34.0,4,12,14.0,2,4,0,1,1,7298.0,0.0,35.0,0
19.0,0,15,10.0,4,0,3,2,0,0.0,0.0,25.0,1
36.0,6,9,13.0,0,10,1,2,0,0.0,0.0,40.0,0
22.0,4,15,10.0,4,12,3,4,1,0.0,0.0,15.0,1
24.0,4,15,10.0,4,7,1,4,1,0.0,0.0,40.0,1
77.0,6,15,10.0,2,12,0,4,1,0.0,0.0,40.0,1
22.0,4,4,3.0,2,7,2,4,0,0.0,0.0,40.0,1
29.0,4,15,10.0,4,13,1,4,0,0.0,0.0,40.0,1
62.0,4,11,9.0,6,8,1,4,0,0.0,0.0,24.0,1
39.0,6,11,9.0,2,4,0,4,1,0.0,0.0,40.0,1
43.0,4,15,10.0,2,3,0,4,1,0.0,1485.0,50.0,1
35.0,4,11,9.0,0,14,1,4,1,0.0,0.0,45.0,1
29.0,4,1,7.0,4,4,1,4,0,0.0,0.0,40.0,1
76.0,6,12,14.0,2,3,0,4,1,0.0,0.0,10.0,1
63.0,6,11,9.0,2,5,0,4,1,0.0,0.0,45.0,1
23.0,0,8,11.0,4,0,3,2,0,0.0,0.0,15.0,1
43.0,4,15,10.0,2,10,5,4,0,0.0,1887.0,50.0,0
58.0,6,11,9.0,2,6,0,4,1,0.0,0.0,40.0,1
66.0,4,11,9.0,4,14,1,4,1,2050.0,0.0,55.0,1
41.0,4,15,10.0,4,3,1,2,1,0.0,0.0,45.0,1
26.0,4,9,13.0,4,1,1,4,1,0.0,0.0,40.0,1
47.0,4,8,11.0,4,8,1,4,1,0.0,0.0,40.0,1
55.0,2,0,6.0,2,1,0,4,1,0.0,0.0,40.0,1
53.0,4,11,9.0,2,14,0,4,1,0.0,0.0,40.0,1
17.0,4,4,3.0,4,8,2,4,1,0.0,0.0,48.0,1
30.0,4,11,9.0,4,3,2,4,1,0.0,0.0,40.0,1
49.0,4,12,14.0,4,10,1,4,1,0.0,0.0,60.0,1
19.0,4,11,9.0,4,12,4,2,1,0.0,0.0,30.0,1
45.0,4,11,9.0,2,8,0,2,1,0.0,0.0,40.0,1
26.0,4,7,12.0,4,12,1,4,1,0.0,0.0,40.0,1
38.0,4,8,11.0,2,3,0,4,1,7298.0,0.0,40.0,0
36.0,7,11,9.0,2,11,0,4,1,7298.0,0.0,40.0,0
33.0,4,11,9.0,4,5,1,4,1,0.0,0.0,20.0,1
22.0,7,15,10.0,4,11,3,2,0,0.0,0.0,40.0,1
43.0,6,9,13.0,4,12,1,4,1,0.0,0.0,42.0,1
67.0,0,1,7.0,2,0,0,4,1,0.0,0.0,8.0,1
30.0,0,8,11.0,0,0,4,4,0,0.0,0.0,40.0,1
56.0,4,7,12.0,3,8,1,4,1,0.0,0.0,25.0,1
31.0,4,9,13.0,4,10,3,4,1,0.0,0.0,25.0,1
33.0,4,9,13.0,2,4,0,4,1,0.0,0.0,40.0,0
26.0,4,11,9.0,2,8,0,4,1,0.0,0.0,40.0,1
33.0,4,9,13.0,2,4,0,4,1,0.0,0.0,40.0,0
46.0,2,1,7.0,2,14,0,4,1,0.0,0.0,30.0,1
59.0,0,9,13.0,2,0,0,4,1,0.0,0.0,40.0,0
38.0,1,11,9.0,2,1,0,4,1,0.0,0.0,40.0,0
65.0,4,1,7.0,6,8,4,3,1,0.0,0.0,40.0,1
40.0,4,8,11.0,2,13,0,4,1,0.0,0.0,40.0,0
42.0,4,11,9.0,2,1,5,4,0,0.0,0.0,35.0,1
26.0,6,6,5.0,2,3,0,4,1,0.0,0.0,40.0,1
36.0,4,0,6.0,2,8,5,4,0,0.0,0.0,24.0,1
62.0,4,12,14.0,2,10,0,4,1,0.0,0.0,40.0,0
43.0,4,9,13.0,2,14,0,4,1,0.0,0.0,45.0,1
43.0,4,9,13.0,0,4,1,4,1,0.0,1564.0,45.0,0
22.0,4,11,9.0,3,12,1,4,1,0.0,0.0,55.0,1
28.0,4,11,9.0,2,3,0,4,1,0.0,0.0,40.0,1
56.0,6,15,10.0,2,12,0,4,1,0.0,0.0,45.0,1
22.0,4,7,12.0,4,12,1,4,0,0.0,0.0,15.0,1
57.0,4,9,13.0,0,4,1,4,0,0.0,0.0,45.0,0
39.0,4,11,9.0,0,12,4,4,0,0.0,0.0,40.0,1
26.0,1,15,10.0,4,1,4,4,0,0.0,0.0,15.0,1
17.0,4,1,7.0,4,8,3,4,1,0.0,0.0,10.0,1
40.0,7,8,11.0,2,7,0,4,1,0.0,0.0,38.0,0
45.0,4,11,9.0,2,7,0,2,1,0.0,0.0,40.0,1
44.0,4,11,9.0,4,3,1,2,1,0.0,0.0,40.0,1
20.0,2,15,10.0,4,1,3,4,0,0.0,0.0,10.0,1
33.0,4,11,9.0,2,3,5,4,0,0.0,0.0,40.0,1
23.0,4,15,10.0,4,12,1,4,1,0.0,0.0,40.0,1
46.0,6,12,14.0,0,4,1,4,1,0.0,0.0,30.0,1
38.0,4,11,9.0,2,12,0,4,1,0.0,0.0,50.0,1
54.0,4,11,9.0,0,14,1,4,1,0.0,0.0,40.0,1
46.0,4,4,3.0,0,3,1,4,0,0.0,2339.0,45.0,1
25.0,4,15,10.0,2,3,0,4,1,0.0,0.0,40.0,1
46.0,4,15,10.0,0,12,1,4,0,0.0,0.0,40.0,1
